model_name,pretrained_tag,model_id,arch_family,resnet_depth,resnet_multiplier,patch_size,image_size,training_data,quickgelu,embed_dim,total_params_M,acc_gt_text1,acc_gt_text2,avg_accuracy,worst_group_accuracy,worst_group,best_group_accuracy,best_group,accuracy_gap,total_images,load_time_s,encode_time_s,"acc_obj=country, bg=country, co=country","acc_obj=country, bg=country, co=urban","acc_obj=country, bg=urban, co=country","acc_obj=country, bg=urban, co=urban","acc_obj=urban, bg=country, co=country","acc_obj=urban, bg=country, co=urban","acc_obj=urban, bg=urban, co=country","acc_obj=urban, bg=urban, co=urban",vit_size
ViT-B-16-quickgelu,dfn2b,ViT-B-16-quickgelu_dfn2b,ViT,,,16.0,224,DFN,True,512.0,149.6,0.97,0.67,0.82,0.656,"obj=country, bg=country, co=country",0.984,"obj=urban, bg=urban, co=country",0.16399999999999992,1000,9.4,2.1,0.656,0.68,0.688,0.656,0.976,0.968,0.984,0.952,B
ViT-B-16,metaclip_400m,ViT-B-16_metaclip_400m,ViT,,,16.0,224,MetaCLIP,False,512.0,149.6,0.898,0.742,0.82,0.72,"obj=country, bg=urban, co=urban",0.936,"obj=urban, bg=urban, co=urban",0.09999999999999998,1000,10.3,2.0,0.776,0.728,0.744,0.72,0.864,0.912,0.88,0.936,B
convnext_base_w_320,laion_aesthetic_s13b_b82k,convnext_base_w_320_laion_aesthetic_s13b_b82k,ConvNeXt,,,,320,laion_aesthetic_s13b_b82k,False,,179.4,0.764,0.874,0.819,0.672,"obj=urban, bg=urban, co=country",0.896,"obj=country, bg=country, co=urban",0.1469999999999999,1000,11.3,3.3,0.88,0.896,0.888,0.832,0.792,0.776,0.672,0.816,
ViT-gopt-16-SigLIP2-256,webli,ViT-gopt-16-SigLIP2-256_webli,ViT,,,16.0,256,WebLI,False,,1871.4,0.668,0.97,0.819,0.504,"obj=urban, bg=country, co=country",0.976,"obj=country, bg=country, co=country",0.31499999999999995,1000,107.6,6.3,0.976,0.968,0.976,0.96,0.504,0.76,0.592,0.816,gopt
ViT-L-16-SigLIP-384,webli,ViT-L-16-SigLIP-384_webli,ViT,,,16.0,384,WebLI,False,,652.5,0.7,0.938,0.819,0.568,"obj=urban, bg=urban, co=country",0.976,"obj=country, bg=country, co=country",0.251,1000,37.5,6.5,0.976,0.928,0.936,0.912,0.584,0.824,0.568,0.824,L
convnext_large_d_320,laion2b_s29b_b131k_ft,convnext_large_d_320_laion2b_s29b_b131k_ft,ConvNeXt,,,,320,LAION-2B,False,,351.8,0.77,0.866,0.818,0.6,"obj=urban, bg=country, co=country",0.928,"obj=country, bg=urban, co=country",0.21799999999999997,1000,18.1,4.0,0.92,0.84,0.928,0.776,0.6,0.816,0.736,0.928,
ViTamin-L2-256,datacomp1b,ViTamin-L2-256_datacomp1b,ViT,,,,256,DataComp,False,,687.7,0.778,0.856,0.817,0.64,"obj=urban, bg=urban, co=country",0.912,"obj=country, bg=country, co=country",0.17699999999999994,1000,35.7,3.3,0.912,0.832,0.904,0.776,0.656,0.904,0.64,0.912,
ViT-bigG-14-CLIPA,datacomp1b,ViT-bigG-14-CLIPA_datacomp1b,ViT,,,14.0,224,DataComp,False,1280.0,2517.2,0.698,0.936,0.817,0.584,"obj=urban, bg=country, co=country",0.968,"obj=country, bg=country, co=country",0.23299999999999998,1000,160.6,12.9,0.968,0.944,0.96,0.872,0.584,0.688,0.68,0.84,bigG
ViT-B-32-256,datacomp_s34b_b86k,ViT-B-32-256_datacomp_s34b_b86k,ViT,,,32.0,256,DataComp,False,512.0,151.3,0.874,0.758,0.816,0.704,"obj=country, bg=urban, co=urban",0.912,"obj=urban, bg=urban, co=urban",0.11199999999999999,1000,9.9,1.0,0.824,0.784,0.72,0.704,0.856,0.88,0.848,0.912,B
ViT-B-16,laion400m_e31,ViT-B-16_laion400m_e31,ViT,,,16.0,224,LAION-400M,False,512.0,149.6,0.762,0.868,0.815,0.72,"obj=urban, bg=country, co=country",0.888,"obj=country, bg=country, co=urban",0.09499999999999997,1000,9.8,2.0,0.856,0.888,0.864,0.864,0.72,0.768,0.736,0.824,B
